State,Office.Level,Body.Name,Body_Represents_State,Body_Represents_County,Body_Represents_Muni,Office.Name,Official.Name,Official.Party,locality,votes
VA,State,State House of Delegates,VA,,,Member House of Delegates (019),Terry L. Austin,Republican,,4349
VA,State,State House of Delegates,VA,,,Member House of Delegates (021),Ron A. Villanueva,Republican,,5877
VA,State,State Senate,VA,,,Member Senate of Virginia (013),"Richard H. ""Dick"" Black",Republican,,19764
VA,State,State House of Delegates,VA,,,Member House of Delegates (035),Mark L. Keam,Democratic,,9203
VA,State,State House of Delegates,VA,,,Member House of Delegates (040),"Timothy D. ""Tim"" Hugo",Republican,,8569
VA,State,State House of Delegates,VA,,,Member House of Delegates (056),Peter F. Farrell,Republican,,6477
VA,State,State House of Delegates,VA,,,Member House of Delegates (069),Betsy B. Carr,Democratic,,639
VA,State,State House of Delegates,VA,,,Member House of Delegates (005),Israel D. O'Quinn,Republican,,5897
VA,State,State Senate,VA,,,Member Senate of Virginia (030),Adam P. Ebbin,Democratic,,14026
VA,State,State House of Delegates,VA,,,Member House of Delegates (061),Thomas C. Wright Jr.,Republican,,5028
VA,State,State House of Delegates,VA,,,Member House of Delegates (011),"S. ""Sam"" Rasoul",Democratic,,11216
VA,State,State House of Delegates,VA,,,Member House of Delegates (029),Christopher E. Collins,Republican,,6099
VA,State,State House of Delegates,VA,,,Member House of Delegates (081),Barry D. Knight,Republican,,3751
VA,State,State House of Delegates,VA,,,Member House of Delegates (076),S. Chris Jones,Republican,,3878
VA,State,State Senate,VA,,,Member Senate of Virginia (002),Mamie E. Locke,Democratic,,4118
VA,State,State House of Delegates,VA,,,Member House of Delegates (095),"Marcia S. ""Cia"" Price",Democratic,,4652
VA,State,State Senate,VA,,,Member Senate of Virginia (022),"Thomas A. Garrett, Jr.",Republican,,5651
VA,State,State House of Delegates,VA,,,Member House of Delegates (048),"R. C. ""Rip"" Sullivan Jr.",Democratic,,8377
VA,State,State Senate,VA,,,Member Senate of Virginia (028),Richard H. Stuart,Republican,,14707
VA,State,State House of Delegates,VA,,,Member House of Delegates (020),"Richard P. ""Dickie"" Bell",Republican,,4922
VA,State,State Senate,VA,,,Member Senate of Virginia (004),Ryan T. McDougle,Republican,,13877
VA,State,State Senate,VA,,,Member Senate of Virginia (012),Siobhan S. Dunnavant,Republican,,23237
VA,State,State House of Delegates,VA,,,Member House of Delegates (047),Patrick A. Hope,Democratic,,11656
VA,State,State House of Delegates,VA,,,Member House of Delegates (012),Joseph R. Yost,Republican,,4492
VA,State,State House of Delegates,VA,,,Member House of Delegates (057),David J. Toscano,Democratic,,5454
VA,State,State House of Delegates,VA,,,Member House of Delegates (068),"G. M. ""Manoli"" Loupassi",Republican,,8712
VA,State,State House of Delegates,VA,,,Member House of Delegates (032),"Thomas A. ""Tag"" Greason",Republican,,9734
VA,State,State House of Delegates,VA,,,Member House of Delegates (060),James E. Edmunds II,Republican,,6648
VA,State,State House of Delegates,VA,,,Member House of Delegates (028),William J. Howell,Republican,,7479
VA,State,State House of Delegates,VA,,,Member House of Delegates (080),Matthew James,Democratic,,1040
VA,State,State Senate,VA,,,Member Senate of Virginia (033),Jennifer T. Wexton,Democratic,,13616
VA,State,State House of Delegates,VA,,,Member House of Delegates (077),"Lionell Spruill, Sr.",Democratic,,4730
VA,State,State House of Delegates,VA,,,Member House of Delegates (004),Todd E. Pillion,Republican,,5082
VA,State,State House of Delegates,VA,,,Member House of Delegates (088),Mark L. Cole,Republican,,4762
VA,State,State House of Delegates,VA,,,Member House of Delegates (096),Brenda L. Pogge,Republican,,7336
VA,State,State Senate,VA,,,Member Senate of Virginia (023),"Stephen D. ""Steve"" Newman",Republican,,10890
VA,State,State Senate,VA,,,Member Senate of Virginia (005),Kenneth Cooper Alexander,Democratic,,7286
VA,State,State House of Delegates,VA,,,Member House of Delegates (098),M. Keith Hodges,Republican,,5969
VA,State,State House of Delegates,VA,,,Member House of Delegates (023),T. Scott Garrett,Republican,,2947
VA,State,State Senate,VA,,,Member Senate of Virginia (029),Jeremy S. McPike,Democratic,,12847
VA,State,State House of Delegates,VA,,,Member House of Delegates (046),Charniele L. Herring,Democratic,,7507
VA,State,State House of Delegates,VA,,,Member House of Delegates (013),"Robert G. ""Bob"" Marshall",Republican,,6284
VA,State,State House of Delegates,VA,,,Member House of Delegates (033),Dave A. LaRock,Republican,,8134
VA,State,State House of Delegates,VA,,,Member House of Delegates (063),Lashrecse D. Aird,Democratic,,3616
VA,State,State House of Delegates,VA,,,Member House of Delegates (097),Christopher K. Peace,Republican,,8330
VA,State,State House of Delegates,VA,,,Member House of Delegates (074),Lamont Bagby,Democratic,,9701
VA,State,State House of Delegates,VA,,,Member House of Delegates (003),"James W. ""Will"" Morefield",Republican,,7183
VA,State,State Senate,VA,,,Member Senate of Virginia (032),Janet D. Howell,Democratic,,23884
VA,State,State House of Delegates,VA,,,Member House of Delegates (050),Jackson Hunter Miller,Republican,,4046
VA,State,State Senate,VA,,,Member Senate of Virginia (003),"Thomas K. Norment, Jr.",Republican,,10312
VA,State,State House of Delegates,VA,,,Member House of Delegates (058),Robert B. Bell III,Republican,,5634
VA,State,State Senate,VA,,,Member Senate of Virginia (020),"William M. Stanley, Jr.",Republican,,6940
VA,State,State House of Delegates,VA,,,Member House of Delegates (087),John J. Bell,Democratic,,7372
VA,State,State Senate,VA,,,Member Senate of Virginia (006),"Lynwood W. Lewis, Jr.",Democratic,,8176
VA,State,State House of Delegates,VA,,,Member House of Delegates (099),Margaret Bevans Ransone,Republican,,4091
VA,State,State House of Delegates,VA,,,Member House of Delegates (022),Kathy J. Byron,Republican,,4502
VA,State,State House of Delegates,VA,,,Member House of Delegates (075),Roslyn C. Tyler,Democratic,,2838
VA,State,State House of Delegates,VA,,,Member House of Delegates (030),Nicholas J. Freitas,Republican,,5685
VA,State,State House of Delegates,VA,,,Member House of Delegates (045),Mark H. Levine,Democratic,,12823
VA,State,State House of Delegates,VA,,,Member House of Delegates (038),L. Kaye Kory,Democratic,,7819
VA,State,State House of Delegates,VA,,,Member House of Delegates (090),"Joseph C. ""Joe"" Lindsey",Democratic,,3405
VA,State,State House of Delegates,VA,,,Member House of Delegates (014),"D.W. ""Danny"" Marshall III",Republican,,3765
VA,State,State Senate,VA,,,Member Senate of Virginia (021),John S. Edwards,Democratic,,10165
VA,State,State House of Delegates,VA,,,Member House of Delegates (002),Joshua L. King,Democratic,,3838
VA,State,State Senate,VA,,,Member Senate of Virginia (019),David R. Suetterlein,Republican,,10447
VA,State,State House of Delegates,VA,,,Member House of Delegates (051),Richard L. Anderson,Republican,,12688
VA,State,State House of Delegates,VA,,,Member House of Delegates (062),Riley Edward Ingram,Republican,,4475
VA,State,State Senate,VA,,,Member Senate of Virginia (011),Amanda F. Chase,Republican,,22141
VA,State,State House of Delegates,VA,,,Member House of Delegates (059),C. Matthew Fariss,Republican,,3097
VA,State,State House of Delegates,VA,,,Member House of Delegates (086),Jennifer B. Boysko,Democratic,,7278
VA,State,State Senate,VA,,,Member Senate of Virginia (035),"Richard L. ""Dick"" Saslaw",Democratic,,14263
VA,State,State Senate,VA,,,Member Senate of Virginia (017),Bryce E. Reeves,Republican,,9509
VA,State,State House of Delegates,VA,,,Member House of Delegates (031),Sara E. Townsend,Democratic,,7090
VA,State,State House of Delegates,VA,,,Member House of Delegates (009),Charles D. Poindexter,Republican,,10513
VA,State,State Senate,VA,,,Member Senate of Virginia (007),Frank W. Wagner,Republican,,17552
VA,State,State House of Delegates,VA,,,Member House of Delegates (072),Jimmie P. Massie III,Republican,,13664
VA,State,State House of Delegates,VA,,,Member House of Delegates (001),Terry G. Kilgore,Republican,,6088
VA,State,State House of Delegates,VA,,,Member House of Delegates (044),Paul E. Krizek,Democratic,,9606
VA,State,State House of Delegates,VA,,,Member House of Delegates (025),"R. Steven ""Steve"" Landes",Republican,,6107
VA,State,State House of Delegates,VA,,,Member House of Delegates (091),Gordon C. Helsel Jr.,Republican,,2980
VA,State,State Senate,VA,,,Member Senate of Virginia (026),Mark D. Obenshain,Republican,,7085
VA,State,State House of Delegates,VA,,,Member House of Delegates (015),C. Todd Gilbert,Republican,,8323
VA,State,State House of Delegates,VA,,,Member House of Delegates (052),Luke E. Torian,Democratic,,7688
VA,State,State House of Delegates,VA,,,Member House of Delegates (065),R. Lee Ware Jr.,Republican,,8651
VA,State,State Senate,VA,,,Member Senate of Virginia (018),L. Louise Lucas,Democratic,,3036
VA,State,State House of Delegates,VA,,,Member House of Delegates (039),Vivian E. Watts,Democratic,,10938
VA,State,State Senate,VA,,,Member Senate of Virginia (010),Glen H. Sturtevant Jr.,Republican,,14564
VA,State,State House of Delegates,VA,,,Member House of Delegates (085),Scott W. Taylor ,Republican,,9406
VA,State,State House of Delegates,VA,,,Member House of Delegates (089),Daun Sessoms Hester,Democratic,,7078
VA,State,State Senate,VA,,,Member Senate of Virginia (034),"J. C. ""Chap"" Petersen",Democratic,,24054
VA,State,State House of Delegates,VA,,,Member House of Delegates (036),"Kenneth R. ""Ken"" Plum",Democratic,,10344
VA,State,State Senate,VA,,,Member Senate of Virginia (016),Rosalyn R. Dance,Democratic,,4551
VA,State,State House of Delegates,VA,,,Member House of Delegates (082),Jason S. Miyares,Republican,,10046
VA,State,State House of Delegates,VA,,,Member House of Delegates (008),Gregory D. Habeeb,Republican,,8352
VA,State,State House of Delegates,VA,,,Member House of Delegates (073),John M. O'Bannon III,Republican,,12514
VA,State,State House of Delegates,VA,,,Member House of Delegates (053),Marcus B. Simon,Democratic,,6930
VA,State,State House of Delegates,VA,,,Member House of Delegates (100),"Robert S. Bloxom, Jr.",Republican,,5037
VA,State,State House of Delegates,VA,,,Member House of Delegates (024),Ben L. Cline,Republican,,4242
VA,State,State House of Delegates,VA,,,Member House of Delegates (016),Les R. Adams,Republican,,7279
VA,State,State Senate,VA,,,Member Senate of Virginia (027),Jill Holtzman Vogel,Republican,,12699
