ElectionName,LocalityName,LocalityCode,RaceName,NumberOfSeats,BallotName,Percentage,Votes,PoliticalParty
2015 November General,ACCOMACK COUNTY,001,Member Senate of Virginia (006),1,"Lynwood W. Lewis, Jr.",61.12%,4648,Democratic
2015 November General,ACCOMACK COUNTY,001,Member Senate of Virginia (006),1,Richard H. Ottinger,38.83%,2953,Republican
2015 November General,ACCOMACK COUNTY,001,Member Senate of Virginia (006),1,Write In,0.05%,4,Write-In
2015 November General,ACCOMACK COUNTY,001,Member House of Delegates (100),1,Willie C. Randall,33.48%,2539,Democratic
2015 November General,ACCOMACK COUNTY,001,Member House of Delegates (100),1,"Robert S. Bloxom, Jr.",66.42%,5037,Republican
2015 November General,ACCOMACK COUNTY,001,Member House of Delegates (100),1,Write In,0.11%,8,Write-In
2015 November General,ACCOMACK COUNTY,001,Clerk of Court (ACCOMACK COUNTY),1,"Samuel H. Cooper, Jr.",99.52%,6622,
2015 November General,ACCOMACK COUNTY,001,Clerk of Court (ACCOMACK COUNTY),1,Write In,0.48%,32,
2015 November General,ACCOMACK COUNTY,001,Commonwealth's Attorney (ACCOMACK COUNTY),1,Gary R. Agar,98.60%,6188,
2015 November General,ACCOMACK COUNTY,001,Commonwealth's Attorney (ACCOMACK COUNTY),1,Write In,1.40%,88,
2015 November General,ACCOMACK COUNTY,001,Sheriff (ACCOMACK COUNTY),1,Todd E. Godwin,99.21%,6541,
2015 November General,ACCOMACK COUNTY,001,Sheriff (ACCOMACK COUNTY),1,Write In,0.79%,52,
2015 November General,ACCOMACK COUNTY,001,Commissioner of Revenue (ACCOMACK COUNTY),1,Leslie Mears Savage,99.58%,6131,
2015 November General,ACCOMACK COUNTY,001,Commissioner of Revenue (ACCOMACK COUNTY),1,Write In,0.42%,26,
2015 November General,ACCOMACK COUNTY,001,Treasurer (ACCOMACK COUNTY),1,Dana T. Bundick,98.84%,6313,
2015 November General,ACCOMACK COUNTY,001,Treasurer (ACCOMACK COUNTY),1,Write In,1.16%,74,
2015 November General,ACCOMACK COUNTY,001,Soil and Water Conservation Director Eastern Shore District (ACCOMACK COUNTY),2,Jim A. Evans,48.89%,4253,
2015 November General,ACCOMACK COUNTY,001,Soil and Water Conservation Director Eastern Shore District (ACCOMACK COUNTY),2,"Fred W. Holland, II",50.86%,4425,
2015 November General,ACCOMACK COUNTY,001,Soil and Water Conservation Director Eastern Shore District (ACCOMACK COUNTY),2,Write In,0.25%,22,
2015 November General,ACCOMACK COUNTY,001,Member Board of Supervisors (DISTRICT 1),1,"W.J. ""Billy Joe"" Tarr",93.65%,708,
2015 November General,ACCOMACK COUNTY,001,Member Board of Supervisors (DISTRICT 1),1,Write In,6.35%,48,
2015 November General,ACCOMACK COUNTY,001,Member Board of Supervisors (DISTRICT 2),1,"Stephen D. ""Steve"" Corazza",43.11%,344,
2015 November General,ACCOMACK COUNTY,001,Member Board of Supervisors (DISTRICT 2),1,Ron S. Wolff,56.89%,454,
2015 November General,ACCOMACK COUNTY,001,Member Board of Supervisors (DISTRICT 2),1,Write In,0.00%,0,
2015 November General,ACCOMACK COUNTY,001,Member Board of Supervisors (DISTRICT 3),1,"Grayson C. Chesser, Jr.",98.33%,411,
2015 November General,ACCOMACK COUNTY,001,Member Board of Supervisors (DISTRICT 3),1,Write In,1.67%,7,
2015 November General,ACCOMACK COUNTY,001,Member Board of Supervisors (DISTRICT 4),1,Kay W. Lewis,47.65%,375,
2015 November General,ACCOMACK COUNTY,001,Member Board of Supervisors (DISTRICT 4),1,Paul E. J. Muhly,52.10%,410,
2015 November General,ACCOMACK COUNTY,001,Member Board of Supervisors (DISTRICT 4),1,Write In,0.25%,2,
2015 November General,ACCOMACK COUNTY,001,Member Board of Supervisors (DISTRICT 5),1,"John C. ""Jack"" Gray",42.30%,250,
2015 November General,ACCOMACK COUNTY,001,Member Board of Supervisors (DISTRICT 5),1,Harrison W. Phillips III,57.53%,340,
2015 November General,ACCOMACK COUNTY,001,Member Board of Supervisors (DISTRICT 5),1,Write In,0.17%,1,
2015 November General,ACCOMACK COUNTY,001,Member Board of Supervisors (DISTRICT 6),1,Robert D. Crockett,98.61%,637,
2015 November General,ACCOMACK COUNTY,001,Member Board of Supervisors (DISTRICT 6),1,Write In,1.39%,9,
2015 November General,ACCOMACK COUNTY,001,Member Board of Supervisors (DISTRICT 7),1,Laura Belle Gordy,66.91%,742,
2015 November General,ACCOMACK COUNTY,001,Member Board of Supervisors (DISTRICT 7),1,G. Cabell Lawton IV,33.00%,366,
2015 November General,ACCOMACK COUNTY,001,Member Board of Supervisors (DISTRICT 7),1,Write In,0.09%,1,
2015 November General,ACCOMACK COUNTY,001,Member Board of Supervisors (DISTRICT 8),1,"Donald L. Hart, Jr.",98.91%,906,
2015 November General,ACCOMACK COUNTY,001,Member Board of Supervisors (DISTRICT 8),1,Write In,1.09%,10,
2015 November General,ACCOMACK COUNTY,001,Member Board of Supervisors (DISTRICT 9),1,C. Reneta Major,97.54%,792,
2015 November General,ACCOMACK COUNTY,001,Member Board of Supervisors (DISTRICT 9),1,Write In,2.46%,20,
2015 November General,ALBEMARLE COUNTY,003,Member Senate of Virginia (017),1,Ned L. Gallaway,60.12%,3237,Democratic
2015 November General,ALBEMARLE COUNTY,003,Member Senate of Virginia (017),1,Bryce E. Reeves,39.77%,2141,Republican
2015 November General,ALBEMARLE COUNTY,003,Member Senate of Virginia (017),1,Write In,0.11%,6,Write-In
2015 November General,ALBEMARLE COUNTY,003,Member Senate of Virginia (025),1,R. Creigh Deeds,95.91%,12914,Democratic
2015 November General,ALBEMARLE COUNTY,003,Member Senate of Virginia (025),1,Write In,4.09%,551,Write-In
2015 November General,ALBEMARLE COUNTY,003,Member House of Delegates (025),1,Angela M. Lynn,54.65%,3313,Democratic
2015 November General,ALBEMARLE COUNTY,003,Member House of Delegates (025),1,"R. Steven ""Steve"" Landes",45.32%,2747,Republican
2015 November General,ALBEMARLE COUNTY,003,Member House of Delegates (025),1,Write In,0.03%,2,Write-In
2015 November General,ALBEMARLE COUNTY,003,Member House of Delegates (057),1,David J. Toscano,95.88%,5005,Democratic
2015 November General,ALBEMARLE COUNTY,003,Member House of Delegates (057),1,Write In,4.12%,215,Write-In
2015 November General,ALBEMARLE COUNTY,003,Member House of Delegates (058),1,Robert B. Bell III,94.94%,5634,Republican
2015 November General,ALBEMARLE COUNTY,003,Member House of Delegates (058),1,Write In,5.06%,300,Write-In
2015 November General,ALBEMARLE COUNTY,003,Member House of Delegates (059),1,C. Matthew Fariss,90.72%,1085,Republican
2015 November General,ALBEMARLE COUNTY,003,Member House of Delegates (059),1,Write In,9.28%,111,Write-In
2015 November General,ALBEMARLE COUNTY,003,Clerk of Court (ALBEMARLE COUNTY),1,Jon R. Zug,50.36%,10472,
2015 November General,ALBEMARLE COUNTY,003,Clerk of Court (ALBEMARLE COUNTY),1,Franklin P. Micciche,10.86%,2258,
2015 November General,ALBEMARLE COUNTY,003,Clerk of Court (ALBEMARLE COUNTY),1,George W. Foresman,11.87%,2468,
2015 November General,ALBEMARLE COUNTY,003,Clerk of Court (ALBEMARLE COUNTY),1,Debra M. Shipp,26.77%,5568,
2015 November General,ALBEMARLE COUNTY,003,Clerk of Court (ALBEMARLE COUNTY),1,Write In,0.14%,30,
